ID	IL.1RA	IL.7	GRO.alpha	IL.8	IP.10	MCP.1	MIP.1.alpha	MIP.1.beta	SDF.1.alpha	RANTES	IL.13	IL.1.beta	IL.2	IL.6	TNF.alpha	IL.18	IL.10	IL.21	IL.22	LIF	BDNF	PDGF.BB	PIGF.1	bNGF	VEGF.A	HGF	Leptin	IDO
X199	-0.661524691	-1.201356453	-1.838347258	-1.741402988	-0.707853215	-1.557824056	-0.690286356	1.69493847	-1.598156496	-1.123569137	0.779459461	-0.322344984	-0.272337224	-0.975665464	0.650352943	-0.576949819	-2.096677317	-0.79067921	1.317729541	-0.147148635	0.179534222	0.481850701	-1.596069302	0.608243134	-1.627030475	0.521808368	1.310674924	0.729248647
X200	0.69880319	0.361208178	0.332510039	0.913119976	1.539383652	0.52760313	0.687510418	1.384317504	0.863790424	1.50210658	-0.69680136	-0.788627516	0.42803215	0.24514011	-0.352862265	0.489987156	0.195069387	0.185117789	-1.074828601	0.121182855	-1.192333788	-1.344881361	0.241142011	-0.951925338	1.105151157	0.414976542	1.055375694	-0.6348014
X201	0.30080854	-0.576446512	-0.914401889	-0.142826128	1.300054588	-1.097658494	-1.46537194	-1.034336173	-0.618268072	0.974545801	-0.753925415	0.320279282	1.227132885	-1.713539868	-1.048189653	1.572888487	-0.460186389	-0.729970024	-1.001145626	-0.490599758	0.273819443	0.169039106	-0.946596498	-0.848651712	0.108472399	-0.332296329	-0.041867549	-0.474340326
X202	-1.722908608	-1.231699739	0.066369972	-0.623910966	-0.32981912	-0.928769701	-1.081549573	-1.49345917	-1.196346276	-0.401687395	0.538664464	-1.686287731	-0.341675052	-0.234732527	0.200657214	-0.138106903	-1.231078017	-0.494662419	0.280599069	-1.095233981	-1.286439023	-0.961286086	-0.333023589	0.082785212	-0.875205597	-0.977757616	-1.717384828	0.262718558
X203	1.918639823	1.683885761	-0.102081406	-0.094210159	1.94861694	0.655019586	0.888265174	0.594942158	0.698164262	1.41547023	-1.162654936	0.493564936	1.11951092	-0.626940661	-0.809075304	1.637612229	0.515122503	-0.656149926	-0.964501511	-0.021031266	1.923705666	0.956027991	-0.390921489	-1.784903824	0.770640867	1.151307511	0.092587133	-0.463717862
X204	-0.238851403	0.621536859	-0.074440693	0.528014999	1.19015938	-0.405485915	-0.557693685	0.305682672	-0.001256312	-0.314212551	-1.293633386	1.069968138	-1.012294612	-1.103184243	-0.25924296	0.936304296	-0.745883752	-0.015882473	-0.668956982	-0.219414953	0.495246502	-0.613576301	-0.046892328	-0.532171625	0.583305255	-0.311550642	0.630493582	-0.822331501
X205	0.628081	0.543424187	1.150027908	1.110840186	0.791771088	0.18087457	-0.907457003	-0.250869423	1.532156975	0.286559116	-0.969029769	0.225035239	0.584701707	-0.155487667	-0.376365145	0.480834902	1.703814881	0.941593917	-0.527448144	0.850627537	-0.583889255	-0.690122549	1.030990457	-0.738446219	1.538783709	-0.693407486	0.112302596	-1.193130704
X206	-0.087913287	0.368326721	-0.541608461	-0.890379777	-0.152092659	-1.540874399	-1.185398309	-1.400047555	-1.279683363	-0.003201979	0.314970346	-0.096420264	0.2316727	-1.333054698	-0.163893807	-0.429001936	-1.310424905	-0.180928802	0.579949981	-1.120105997	1.174967339	0.956010504	-0.442695476	-0.101670959	0.124208455	-0.368950884	0.187353571	0.079200368
X207	-1.029528457	0.88075089	0.060228559	0.403284	0.114904461	-1.113033591	-1.256059046	-1.005334693	-1.007789456	-0.570218636	0.335785025	0.816807295	2.489692951	0.802779359	0.063950702	0.587732957	0.014374865	0.146471903	0.567596367	2.543970608	-0.776888596	-0.323395234	0.134783668	0.48455658	0.396404705	0.359935642	0.697499865	-0.32825781
X208	1.286788541	0.460841296	0.011977876	-0.115166652	0.540431411	-0.661992653	-0.376666594	0.119808677	-0.199812731	-0.373642003	-0.112656936	-0.207551944	-0.305810166	-0.263116276	-0.629098805	0.113168832	0.628086828	-0.240219212	-0.21428988	0.837028115	1.268773474	0.735406467	-0.129805502	0.125530438	-0.818455308	0.826877768	-0.366990665	-0.033093905
X209	0.973488295	0.18474976	-0.488037129	0.422955318	-0.850011065	-0.161431234	-0.074291529	-0.985518217	-0.305880038	-0.71371248	0.18514309	0.871511164	-1.100097312	-0.953694893	1.083845907	-0.586687736	0.615888476	0.240060362	0.011996104	1.13718565	-0.464753621	0.484508045	0.29470796	0.392858161	1.888458761	1.287394793	2.444533211	0.738275886
X210	-1.077062317	-1.933841598	0.083856768	-0.436216803	-0.916611478	-1.299380444	-0.930808816	-0.861920448	-1.381883612	-0.953949458	0.238271613	0.254827484	-0.759961312	0.114022651	-0.475193505	-0.987980469	-0.303604954	0.467439235	0.178882616	-1.141133209	-0.438011413	1.068502017	-0.137501947	0.519315649	-1.542013918	-1.167814041	-0.684780352	1.07879441
X211	0.399291389	0.44701267	-1.431855707	-1.514404039	-0.117042294	-0.472167487	-0.502740192	0.228358541	-1.317158555	-0.486890101	-0.323269003	-1.600466951	0.128423375	-0.822061085	-0.354135398	0.065972351	-0.780167826	-1.455822115	-0.014192098	0.437817089	0.186195657	0.416021739	-1.052094458	0.053157105	-0.160734796	0.403481535	-1.752909429	0.165712247
X212	1.071479311	0.588736716	0.284856817	-0.562076203	-0.275962443	1.304241194	0.422022479	0.030591893	0.023613238	0.311741746	-0.114963543	-0.38798088	-1.254875712	-0.763071586	0.273129607	-0.122615156	0.410409322	-0.00090105	0.317893944	0.360582123	-0.874666067	-0.346199876	0.006046797	-0.009701672	-0.349759664	-0.821875765	-1.458015453	-0.005120686
X213	1.891593699	1.078465677	1.988993172	1.844333784	0.056158722	0.777710082	1.326619903	1.724405468	1.913368771	1.706002258	-0.269539637	1.007692562	1.938968854	1.963856507	0.779305245	-0.205877771	1.433134584	2.029848536	0.214249525	0.150592701	1.491928616	0.371768254	2.182556406	0.102276835	1.905559728	-0.688156917	0.215291016	-0.003894119
X214	-1.443867657	-0.269101944	-1.859881937	-1.884648795	-1.414201245	-1.654060546	-2.012901191	-1.924965497	-1.912604977	-1.948067014	2.482707645	0.484130159	-0.930597102	-0.435808433	0.140594413	-1.129977978	-1.360850898	-0.873380658	0.860643304	-1.460659817	1.050162011	0.797914516	-1.814847265	1.366085927	-1.838250423	0.643006035	-2.021680071	1.013322698
X216	-0.647798978	0.116428984	-0.627063153	-0.689423216	-0.725936165	-0.413629626	-0.42334217	-0.701518727	-0.61702465	-0.426043822	0.169654606	0.14595033	0.01514596	-0.17557555	0.425773387	-0.550335064	-0.452325079	0.54439242	1.987076356	0.13878868	0.29387198	0.451245919	-0.335372427	0.328118733	0.092860797	0.038316473	-1.265619977	0.817245751
